movie_key,movie_title,release_year,wikipedia_url,tmdb_id,imdb_id,wikidata_qid,match_status,match_confidence
mov_tmdb_59117,Torrente 4: Lethal crisis,2011,,59117,tt1417108,Q129869,matched,tmdb_source
mov_tmdb_51876,Limitless,2011,,51876,tt1219289,Q753517,matched,tmdb_source
mov_tmdb_50348,The Lincoln Lawyer,2011,,50348,tt1189340,Q287748,matched,tmdb_source
mov_tmdb_23629,Sucker Punch,2011,,23629,tt0978764,Q621587,matched,tmdb_source
mov_tmdb_60307,Diary of a Wimpy Kid: Rodrick Rules,2011,,60307,tt1650043,Q1156830,matched,tmdb_source
mov_tmdb_50359,Hop,2011,,50359,tt1411704,Q753605,matched,tmdb_source
mov_tmdb_45612,Source Code,2011,,45612,tt0945513,Q266209,matched,tmdb_source
mov_tmdb_49018,Insidious,2011,,49018,tt1591095,Q122713,matched,tmdb_source
mov_tmdb_46195,Rio,2011,,46195,tt1436562,Q223359,matched,tmdb_source
mov_tmdb_51162,Winnie the Pooh,2011,,51162,tt1449283,Q922193,matched,tmdb_source
mov_tmdb_50456,Hanna,2011,,50456,tt0993842,Q170268,matched,tmdb_source
mov_tmdb_49012,Arthur,2011,,49012,tt1334512,Q708306,matched,tmdb_source
mov_tmdb_43959,Soul Surfer,2011,,43959,tt1596346,Q1156089,matched,tmdb_source
mov_tmdb_38319,Your Highness,2011,,38319,tt1240982,Q1415029,matched,tmdb_source
mov_tmdb_41446,Scream 4,2011,,41446,tt1262416,Q323392,matched,tmdb_source
mov_tmdb_55787,Water for Elephants,2011,,55787,tt1067583,Q432582,matched,tmdb_source
mov_tmdb_51497,Fast Five,2011,,51497,tt1596343,Q401976,matched,tmdb_source
mov_tmdb_57586,African Cats,2011,,57586,tt1223236,Q3092327,matched,tmdb_source
mov_tmdb_10195,Thor,2011,,10195,tt0800369,Q217020,matched,tmdb_source
mov_tmdb_51017,Madea's Big Happy Family,2011,,51017,tt1787759,Q6726798,matched,tmdb_source
mov_tmdb_77117,Sunny,2011,,77117,tt1937339,Q492504,matched,tmdb_source
mov_tmdb_38321,Priest,2011,,38321,tt0822847,Q967683,matched,tmdb_source
mov_tmdb_49022,Something Borrowed,2011,,49022,tt0491152,Q1455075,matched,tmdb_source
mov_tmdb_57119,Jumping the Broom,2011,,57119,tt1640484,Q2333710,matched,tmdb_source
mov_tmdb_59436,Midnight in Paris,2011,,59436,tt1605783,Q206124,matched,tmdb_source
mov_tmdb_55721,Bridesmaids,2011,,55721,tt1478338,Q837264,matched,tmdb_source
mov_tmdb_1865,Pirates of the Caribbean: On Stranger Tides,2011,,1865,tt1298650,Q183555,matched,tmdb_source
mov_tmdb_52449,Bad Teacher,2011,,52449,tt1284575,Q798797,matched,tmdb_source
mov_tmdb_8967,The Tree of Life,2011,,8967,tt0478304,Q244257,matched,tmdb_source
mov_tmdb_49444,Kung Fu Panda 2,2011,,49444,tt1302011,Q487447,matched,tmdb_source
mov_tmdb_45243,The Hangover Part II,2011,,45243,tt1411697,Q274748,matched,tmdb_source
mov_tmdb_49538,X-Men: First Class,2011,,49538,tt1270798,Q223596,matched,tmdb_source
mov_tmdb_37686,Super 8,2011,,37686,tt1650062,Q379877,matched,tmdb_source
mov_tmdb_49013,Cars 2,2011,,49013,tt1216475,Q192212,matched,tmdb_source
mov_tmdb_44912,Green Lantern,2011,,44912,tt1133985,Q903885,matched,tmdb_source
mov_tmdb_58224,Mr. Popper's Penguins,2011,,58224,tt1396218,Q682549,matched,tmdb_source
mov_tmdb_38356,Transformers: Dark of the Moon,2011,,38356,tt1399103,Q232774,matched,tmdb_source
mov_tmdb_59861,Larry Crowne,2011,,59861,tt1583420,Q382864,matched,tmdb_source
mov_tmdb_59860,Monte Carlo,2011,,59860,tt1067774,Q550248,matched,tmdb_source
mov_tmdb_38317,Zookeeper,2011,,38317,tt1222817,Q477070,matched,tmdb_source
mov_tmdb_51540,Horrible Bosses,2011,,51540,tt1499658,Q908556,matched,tmdb_source
mov_tmdb_184614,Kuiba,2011,,184614,tt2557868,Q6442234,matched,tmdb_source
mov_tmdb_12445,Harry Potter and the Deathly Hallows: Part 2,2011,,12445,tt1201607,Q232009,matched,tmdb_source
mov_tmdb_61202,Zindagi Na Milegi Dobara,2011,,61202,tt1562872,Q3067642,matched,tmdb_source
mov_tmdb_83389,From Up on Poppy Hill,2011,,83389,tt1798188,Q194726,matched,tmdb_source
mov_tmdb_50544,Friends with Benefits,2011,,50544,tt1632708,Q629596,matched,tmdb_source
mov_tmdb_1771,Captain America: The First Avenger,2011,,1771,tt0458339,Q275120,matched,tmdb_source
mov_tmdb_70590,Singham,2011,,70590,tt1948150,Q905129,matched,tmdb_source
mov_tmdb_62835,Colombiana,2011,,62835,tt1657507,Q868329,matched,tmdb_source
mov_tmdb_71677,Assassination Games,2011,,71677,tt1436568,Q31540,matched,tmdb_source
mov_tmdb_49849,Cowboys & Aliens,2011,,49849,tt0409847,Q725578,matched,tmdb_source
mov_tmdb_50646,"Crazy, Stupid, Love.",2011,,50646,tt1570728,Q519490,matched,tmdb_source
mov_tmdb_41513,The Smurfs,2011,,41513,tt0472181,Q454398,matched,tmdb_source
mov_tmdb_61791,Rise of the Planet of the Apes,2011,,61791,tt1318514,Q243983,matched,tmdb_source
mov_tmdb_49520,The Change-Up,2011,,49520,tt1488555,Q1574364,matched,tmdb_source
mov_tmdb_50014,The Help,2011,,50014,tt1454029,Q204374,matched,tmdb_source
mov_tmdb_79224,War of the Arrows,2011,,79224,tt2025526,Q486956,matched,tmdb_source
mov_tmdb_62206,30 Minutes or Less,2011,,62206,tt1622547,Q224133,matched,tmdb_source
mov_tmdb_55779,Final Destination 5,2011,,55779,tt1622979,Q661847,matched,tmdb_source
mov_tmdb_37430,Conan the Barbarian,2011,,37430,tt0816462,Q1123629,matched,tmdb_source
mov_tmdb_63311,The Skin I Live In,2011,,63311,tt1189073,Q1130310,matched,tmdb_source
mov_tmdb_58151,Fright Night,2011,,58151,tt1438176,Q268824,matched,tmdb_source
mov_tmdb_56288,Spy Kids: All the Time in the World,2011,,56288,tt1517489,Q550591,matched,tmdb_source
mov_tmdb_69798,The Inbetweeners Movie,2011,,69798,tt1716772,Q262173,matched,tmdb_source
mov_tmdb_52451,The Three Musketeers,2011,,52451,tt1509767,Q309248,matched,tmdb_source
mov_tmdb_65055,Shark Night 3D,2011,,65055,tt1633356,Q1317743,matched,tmdb_source
mov_tmdb_39538,Contagion,2011,,39538,tt1598778,Q730888,matched,tmdb_source
mov_tmdb_65057,The Descendants,2011,,65057,tt1033575,Q273686,matched,tmdb_source
mov_tmdb_98344,Warriors of the Rainbow: Seediq Bale - Part 1: The Sun Flag,2011,,98344,tt2007993,,matched,tmdb_source
mov_tmdb_64690,Drive,2011,,64690,tt0780504,Q732960,matched,tmdb_source
mov_tmdb_58233,Johnny English Reborn,2011,,58233,tt1634122,Q967478,matched,tmdb_source
mov_tmdb_72113,Carnage,2011,,72113,tt1692486,Q169564,matched,tmdb_source
mov_tmdb_70868,I Don't Know How She Does It,2011,,70868,tt1742650,Q723026,matched,tmdb_source
mov_tmdb_49517,Tinker Tailor Soldier Spy,2011,,49517,tt1340800,Q681962,matched,tmdb_source
mov_tmdb_59965,Abduction,2011,,59965,tt1600195,Q143716,matched,tmdb_source
mov_tmdb_62837,Dolphin Tale,2011,,62837,tt1564349,Q1064885,matched,tmdb_source
mov_tmdb_49021,Killer Elite,2011,,49021,tt1448755,Q1320416,matched,tmdb_source
mov_tmdb_81481,Silenced,2011,,81481,tt2070649,Q489969,matched,tmdb_source
mov_tmdb_60308,Moneyball,2011,,60308,tt1210166,Q221820,matched,tmdb_source
mov_tmdb_39254,Real Steel,2011,,39254,tt0433035,Q261759,matched,tmdb_source
mov_tmdb_69668,Dream House,2011,,69668,tt1462041,Q2528642,matched,tmdb_source
mov_tmdb_40807,50/50,2011,,40807,tt1306980,Q859448,matched,tmdb_source
mov_tmdb_72213,Courageous,2011,,72213,tt1630036,Q3285929,matched,tmdb_source
mov_tmdb_313230,Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge,2011,,313230,tt4164468,Q647130,matched,tmdb_source
mov_tmdb_63492,What's Your Number?,2011,,63492,tt0770703,Q389548,matched,tmdb_source
mov_tmdb_68817,Footloose,2011,,68817,tt1068242,Q1197869,matched,tmdb_source
mov_tmdb_80281,Oosaravelli,2011,,80281,tt1890493,Q3764194,matched,tmdb_source
mov_tmdb_10316,The Ides of March,2011,,10316,tt1124035,Q543581,matched,tmdb_source
mov_tmdb_74643,The Artist,2011,,74643,tt1655442,Q171861,matched,tmdb_source
mov_tmdb_60935,The Thing,2011,,60935,tt0905372,Q909749,matched,tmdb_source
mov_tmdb_72571,Paranormal Activity 3,2011,,72571,tt1778304,Q1056921,matched,tmdb_source
mov_tmdb_91078,Punch,2011,,91078,tt2088012,Q492393,matched,tmdb_source
mov_tmdb_41517,Ra.One,2011,,41517,tt1562871,Q284184,matched,tmdb_source
mov_tmdb_17578,The Adventures of Tintin,2011,,17578,tt0983193,Q980041,matched,tmdb_source
mov_tmdb_49530,In Time,2011,,49530,tt1637688,Q628082,matched,tmdb_source
mov_tmdb_417859,Puss in Boots,2011,,417859,tt0448694,Q324262,matched,tmdb_source
mov_tmdb_70435,Haywire,2011,,70435,tt1506999,Q249350,matched,tmdb_source
mov_tmdb_77338,The Intouchables,2011,,77338,tt1675434,Q595,matched,tmdb_source
mov_tmdb_59108,Tower Heist,2011,,59108,tt0471042,Q778979,matched,tmdb_source
mov_tmdb_55465,A Very Harold & Kumar Christmas,2011,,55465,tt1268799,Q43408,matched,tmdb_source
mov_tmdb_88794,J. Edgar,2011,,88794,tt1616195,Q1137236,matched,tmdb_source
mov_tmdb_51052,Arthur Christmas,2011,,51052,tt1430607,Q711918,matched,tmdb_source
mov_tmdb_37958,Immortals,2011,,37958,tt1253864,Q1050528,matched,tmdb_source
mov_tmdb_71880,Jack and Jill,2011,,71880,tt0810913,Q1505923,matched,tmdb_source
mov_tmdb_50619,The Twilight Saga: Breaking Dawn - Part 1,2011,,50619,tt1324999,Q60506,matched,tmdb_source
mov_tmdb_65759,Happy Feet Two,2011,,65759,tt1402488,Q816857,matched,tmdb_source
mov_tmdb_44826,Hugo,2011,,44826,tt0970179,Q206576,matched,tmdb_source
mov_tmdb_58574,Sherlock Holmes: A Game of Shadows,2011,,58574,tt1515091,Q243643,matched,tmdb_source
