date_key,date,year,quarter,month,month_name,day
20151008,2015-10-08,2015,4,10,October,8
20151009,2015-10-09,2015,4,10,October,9
20151013,2015-10-13,2015,4,10,October,13
20151014,2015-10-14,2015,4,10,October,14
20151015,2015-10-15,2015,4,10,October,15
20151016,2015-10-16,2015,4,10,October,16
20151020,2015-10-20,2015,4,10,October,20
20151021,2015-10-21,2015,4,10,October,21
20151026,2015-10-26,2015,4,10,October,26
20151029,2015-10-29,2015,4,10,October,29
20151030,2015-10-30,2015,4,10,October,30
20151105,2015-11-05,2015,4,11,November,5
20151106,2015-11-06,2015,4,11,November,6
20151110,2015-11-10,2015,4,11,November,10
20151111,2015-11-11,2015,4,11,November,11
