movie_key,tmdb_id,movie_title,release_date,wikipedia_url,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,director_1,director_2,cast_1,cast_2,cast_3,cast_4,cast_5,budget_usd,box_office_revenue_usd
mov_tmdb_157350,157350,Divergent,2014-03-14,,Action,Adventure,Science Fiction,,,,Neil Burger,,Shailene Woodley,Theo James,Ashley Judd,Jai Courtney,Ray Stevenson,85000000,288885818
mov_tmdb_236737,236737,Spanish Affair,2014-03-14,,Comedy,Romance,,,,,Emilio Martínez Lázaro,,Clara Lago,Dani Rovira,Carmen Machi,Karra Elejalde,Alberto López,3000000,78768613
mov_tmdb_172385,172385,Rio 2,2014-03-19,,Animation,Adventure,Comedy,Family,,,Carlos Saldanha,,Jesse Eisenberg,Anne Hathaway,will.i.am,Jamie Foxx,Leslie Mann,103000000,498781117
mov_tmdb_100402,100402,Captain America: The Winter Soldier,2014-03-20,,Action,Adventure,Science Fiction,,,,Joe Russo,Anthony Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford,Sebastian Stan,170000000,714766572
mov_tmdb_145220,145220,Muppets Most Wanted,2014-03-20,,Comedy,Adventure,Crime,Family,,,James Bobin,,Ricky Gervais,Ty Burrell,Tina Fey,Steve Whitmire,Eric Jacobson,50000000,80400000
mov_tmdb_236751,236751,Heaven Is for Real,2014-04-16,,Drama,,,,,,Randall Wallace,,Greg Kinnear,Kelly Reilly,Connor Corum,Thomas Haden Church,Jacob Vargas,12000000,101300000
mov_tmdb_262391,262391,Serial (Bad) Weddings,2014-04-16,,Comedy,,,,,,Philippe de Chauveron,,Christian Clavier,Chantal Lauby,Ary Abittan,Medi Sadoun,Frédéric Chau,13000000,176404493
mov_tmdb_102382,102382,The Amazing Spider-Man 2,2014-04-16,,Action,Adventure,Science Fiction,,,,Marc Webb,,Andrew Garfield,Emma Stone,Jamie Foxx,Dane DeHaan,Colm Feore,200000000,716934779
mov_tmdb_193610,193610,The Other Woman,2014-04-16,,Comedy,Romance,,,,,Nick Cassavetes,,Cameron Diaz,Leslie Mann,Kate Upton,Nikolaj Coster-Waldau,Don Johnson,40000000,196800000
mov_tmdb_157353,157353,Transcendence,2014-04-16,,Thriller,Science Fiction,Drama,Mystery,,,Wally Pfister,,Johnny Depp,Rebecca Hall,Paul Bettany,Cillian Murphy,Kate Mara,100000000,103039258
mov_tmdb_254473,254473,Brick Mansions,2014-04-22,,Action,Crime,Drama,,,,Camille Delamarre,,Paul Walker,David Belle,RZA,Robert Maillet,Carlo Rota,28000000,71416730
mov_tmdb_195589,195589,Neighbors,2014-05-08,,Comedy,,,,,,Nicholas Stoller,,Seth Rogen,Zac Efron,Rose Byrne,Dave Franco,Christopher Mintz-Plasse,18000000,270665134
mov_tmdb_124905,124905,Godzilla,2014-05-14,,Action,Drama,Science Fiction,,,,Gareth Edwards,,Aaron Taylor-Johnson,Elizabeth Olsen,Juliette Binoche,Bryan Cranston,Ken Watanabe,160000000,524978362
mov_tmdb_127585,127585,X-Men: Days of Future Past,2014-05-15,,Action,Adventure,Science Fiction,,,,Bryan Singer,,Hugh Jackman,James McAvoy,Michael Fassbender,Patrick Stewart,Ian McKellen,250000000,748045700
mov_tmdb_232672,232672,Blended,2014-05-21,,Comedy,Romance,,,,,Frank Coraci,,Adam Sandler,Drew Barrymore,Kevin Nealon,Terry Crews,Wendi McLendon-Covey,40000000,128000000
mov_tmdb_188161,188161,A Million Ways to Die in the West,2014-05-22,,Comedy,Western,,,,,Seth MacFarlane,,Seth MacFarlane,Charlize Theron,Amanda Seyfried,Liam Neeson,Giovanni Ribisi,40000000,86400000
mov_tmdb_137113,137113,Edge of Tomorrow,2014-05-27,,Action,Science Fiction,,,,,Doug Liman,,Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong,178000000,370541256
mov_tmdb_102651,102651,Maleficent,2014-05-28,,Fantasy,Adventure,Action,Family,Romance,,Robert Stromberg,,Angelina Jolie,Elle Fanning,Imelda Staunton,Sharlto Copley,Lesley Manville,180000000,758539785
mov_tmdb_222935,222935,The Fault in Our Stars,2014-06-02,,Romance,Drama,,,,,Josh Boone,,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,Sam Trammell,14000000,307166834
mov_tmdb_187017,187017,22 Jump Street,2014-06-05,,Crime,Comedy,Action,,,,Phil Lord,Christopher Miller,Jonah Hill,Channing Tatum,Peter Stormare,Wyatt Russell,Amber Stevens West,50000000,331333876
mov_tmdb_82702,82702,How to Train Your Dragon 2,2014-06-05,,Fantasy,Action,Adventure,Animation,Family,,Dean DeBlois,,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,145000000,621537519
mov_tmdb_184098,184098,Think Like a Man Too,2014-06-20,,Comedy,Romance,,,,,Tim Story,,Adam Brody,Michael Ealy,Jerry Ferrara,Meagan Good,Regina Hall,24000000,70181428
mov_tmdb_91314,91314,Transformers: Age of Extinction,2014-06-25,,Science Fiction,Action,Adventure,,,,Michael Bay,,Mark Wahlberg,Peter Cullen,Stanley Tucci,Kelsey Grammer,Nicola Peltz,210000000,1105261713
mov_tmdb_184346,184346,Deliver Us from Evil,2014-07-01,,Thriller,Crime,Horror,,,,Scott Derrickson,,Eric Bana,Olivia Munn,Edgar Ramírez,Joel McHale,Sean Harris,30000000,87937815
mov_tmdb_226486,226486,Tammy,2014-07-02,,Comedy,,,,,,Ben Falcone,,Melissa McCarthy,Susan Sarandon,Kathy Bates,Mark Duplass,Gary Cole,20000000,100375432
mov_tmdb_119450,119450,Dawn of the Planet of the Apes,2014-07-08,,Science Fiction,Action,Drama,Thriller,,,Matt Reeves,,Andy Serkis,Jason Clarke,Toby Kebbell,Gary Oldman,Keri Russell,170000000,710644566
mov_tmdb_243683,243683,Step Up All In,2014-07-15,,Romance,Drama,Music,,,,Trish Sie,,Briana Evigan,Ryan Guzman,Chaton Anderson,Stephen 'tWitch' Boss,Misha Gabriel,45000000,86165646
mov_tmdb_218836,218836,Planes: Fire & Rescue,2014-07-17,,Animation,Comedy,Adventure,Family,,,Bobs Gannaway,,Ed Harris,Dane Cook,Julie Bowen,Curtis Armstrong,John Michael Higgins,50000000,151165787
mov_tmdb_225886,225886,Sex Tape,2014-07-17,,Comedy,,,,,,Jake Kasdan,,Cameron Diaz,Jason Segel,Rob Corddry,Ellie Kemper,Rob Lowe,40000000,126069509
mov_tmdb_238636,238636,The Purge: Anarchy,2014-07-17,,Horror,Thriller,,,,,James DeMonaco,,Frank Grillo,Carmen Ejogo,Zach Gilford,Michael Kenneth Williams,Kiele Sanchez,9000000,111928365
mov_tmdb_184315,184315,Hercules,2014-07-23,,Action,Adventure,,,,,Brett Ratner,,Dwayne Johnson,Ian McShane,John Hurt,Rufus Sewell,Aksel Hennie,100000000,244819862
mov_tmdb_240832,240832,Lucy,2014-07-25,,Action,Science Fiction,,,,,Luc Besson,,Scarlett Johansson,Morgan Freeman,Choi Min-sik,Amr Waked,Julian Rhind-Tutt,40000000,469058574
mov_tmdb_118340,118340,Guardians of the Galaxy,2014-07-30,,Action,Science Fiction,Adventure,,,,James Gunn,,Chris Pratt,Zoe Saldaña,Dave Bautista,Vin Diesel,Bradley Cooper,170000000,772776600
mov_tmdb_282631,282631,The Admiral: Roaring Currents,2014-07-30,,War,Action,Drama,History,,,Kim Han-min,,Choi Min-sik,Ryu Seung-ryong,Cho Jin-woong,Jin Goo,Lee Jung-hyun,9500000,138342258
mov_tmdb_216282,216282,Into the Storm,2014-08-06,,Action,Thriller,,,,,Steven Quale,,Richard Armitage,Sarah Wayne Callies,Matt Walsh,Max Deacon,Alycia Debnam-Carey,50000000,160600000
